"x","crinum"
"MT-CO2",410208
"MT-CO3",390444
"MT-CYB",346664
"MT-CO1",341635
"MT-ND4",311098
"MT-ND3",290540
"FTH1",278323
"TMSB4X",251345
"NRGN",249323
"MT-ATP6",229749
"RPS27A",222887
"SNAP25",221476
"RPL13",219048
"RPL37A",218471
"MT-ND1",214890
"HSP90AB1",214289
"RPL34",209095
"STMN1",207471
"HSPA8",199846
"RPL28",198943
"GPM6A",198939
"RPLP1",198646
"CAMK2N1",197799
"THY1",194692
"CALM3",193858
"TPI1",193723
"TMSB10",192024
"PCSK1N",188617
"YWHAZ",188341
"DPYSL2",187594
"MAP1B",185632
"CHN1",181308
"FTL",181066
"RPS12",180569
"RPS8",179608
"TUBB2A",177685
"YWHAG",177168
"RTN3",176855
"RPL10",175367
"SYT1",172722
"CALM1",171094
"TUBA1A",168240
"TUBA1B",163512
"RPL30",162823
"EEF1A1",161707
"UCHL1",160313
"ARPP19",157915
"RPL19",156773
"ATP1B1",156280
"DNM1",153958
"MT-ND5",151366
"CCK",150342
"SLC17A7",150242
"GPI",149232
"YWHAH",148275
"RPS23",146990
"SLC1A2",146611
"RTN1",146061
"TSPAN7",139498
"SNRPN",138804
"RPS27",138296
"RPL13A",136984
"CTXN1",134489
"BASP1",134332
"EIF4A2",132638
"GTF2I",131119
"MDH1",130655
"EEF1A2",127928
"RPS6",126980
"MALAT1",126830
"STXBP1",126253
"GRINA",125695
"ATP5MC2",125352
"PINK1",124809
"TMEM59L",124723
"ENC1",124364
"MAST3",123173
"CLTC",123092
"DMTN",122980
"COX5A",122423
"RPS9",122314
"RPS10",121279
"PEA15",120849
"TUBB4B",120837
"NAPA",120778
"PTMS",120675
"BEX2",120590
"RPLP0",120508
"FXYD7",120308
"RPS3",119775
"CA11",119618
"ATP6V0A1",119383
"ATP6V1G2",119276
"CHCHD10",118687
"ATP5MC3",117917
"ARHGDIG",117757
"ARL6IP1",117623
"PTGDS",117466
"SNCB",116908
"SEZ6L2",116748
"TSC22D1",116387
"MLLT11",116386
"PRDX1",116277
"SCG5",116163
"COX7B",116087
"NEFL",115840
"TAGLN3",115786
"PGAM1",115733
"NAPB",115187
"CYCS",115150
"PGK1",115145
"CYFIP2",114944
"TOLLIP",114693
"GABRA1",114176
"GHITM",113977
"CEND1",113956
"SCD5",113807
"C1QTNF4",113766
"RAB6B",113728
"ATP2A2",113703
"CCNI",113216
"ENO2",112826
"ABR",112575
"CALY",112516
"PTPRN",112440
"NGEF",112315
"RPS20",112274
"RPS18",112209
"PRKCB",111749
"PI4KA",111534
"NLRP1",111490
"TTC9B",111267
"HNRNPA2B1",110935
"SYN2",110819
"SNCA",110679
"LGALS1",110668
"NCS1",110565
"CPLX2",110115
"PFN2",109880
"PIN1",109568
"FIS1",109043
"C16orf45",108704
"MT2A",108570
"NDUFAB1",108526
"SIRPA",108230
"ATP2B2",108004
"MEG3",107948
"ATP6V1B2",107691
"CHGA",107690
"NSMF",107674
"CAMK2A",107085
"NCALD",106698
"C4orf48",106642
"GABBR1",106378
"KIF3C",106164
"MEF2C",105803
"SV2A",105767
"ANXA6",105451
"MOAP1",105439
"GOT1",105106
"PSD",104980
"NPTXR",104780
"AP2M1",104629
"ATP2B1",104408
"PAK1",104333
"PACSIN1",104216
"ATP6V1A",104107
"SYNGR1",103790
"SLC12A5",102889
"DCLK1",101905
"H3F3A",100553
"TPPP",100537
"RPH3A",100230
"NSF",100063
"CPLX1",99884
"ATP1A2",99614
"SCN3B",99252
"STMN2",99055
"GRIA2",98935
"AK5",98485
"RAB3A",98454
"ATOX1",98378
"CABP1",98200
"CBX6",97449
"BRK1",96750
"MTURN",96143
"BNIP3",95945
"GABBR2",95711
"FKBP1A",95581
"NPTN",95329
"TBCB",94862
"APLP1",93948
"GABRD",93803
"BEX1",93794
"NSG2",93530
"SYNGR3",93516
"HPCA",93035
"INA",92678
"SNN",92582
"NENF",92291
"GRIN1",92105
"CRIP2",92084
"B2M",92077
"STX1A",91867
"NAP1L3",91665
"NCKAP1",91609
"MBP",91476
"TMOD2",91243
"HSPH1",91212
"KCNAB2",90982
"DDN",90864
"MAPK10",90773
"MAGED1",90707
"NDRG3",90702
"LMO3",90418
"NUDT4",90397
"ATP1A1",90091
"DBI",89978
"C9orf16",89183
"FEZ1",89106
"FBXL16",88690
"SLC24A2",88494
"MYO5A",88320
"FBXW7",88125
"RPL11",87925
"ATP1B2",87771
"NDRG4",87345
"METRN",87200
"NNAT",86910
"SPOCK1",86888
"SNCG",86768
"RGS4",86763
"LINGO1",86691
"SERPINI1",86620
"CDK5R1",86483
"NEFM",86359
"RBFOX1",86045
"H1FX",85954
"HK1",85875
"CTNND2",85659
"NRXN1",85636
"RHOA",85391
"SERF2",85266
"NDUFA4",85233
"SELENOH",85176
"STMN4",85077
"CAP2",84262
"C1orf122",84129
"CHL1",84076
"SCN1B",83846
"SULT4A1",83697
"H3F3B",83456
"S100B",83257
"MAP2K1",83171
"DIRAS2",83003
"GPM6B",82728
"PFKP",82502
"WASF1",82489
"SORT1",82161
"INPP5F",81719
"NDUFA12",81671
"ISCU",81625
"HOPX",81483
"PDZD4",81053
"SLC25A5",80819
"TECR",80055
"SPINT2",79958
"QDPR",79752
"PNMA8B",79635
"IQSEC1",79414
"MT1E",79316
"RCAN2",79083
"SEPT8",78682
"BEX5",78531
"SH3GL2",78390
"ITFG1",77992
"NRN1",76746
"SNAP91",76078
"GABRB2",75844
"PTMA",75803
"CTBP1",75386
"CAMKK2",74911
"CREG2",74511
"FAM131A",74338
"PEG3",73690
"PNMA8A",72749
"CRYAB",72502
"TCEAL2",72464
"GLS",72307
"ATL1",71975
"SLC25A23",71807
"MAP7D1",71747
"SCD",71637
"SCN2A",71364
"VGF",70838
"SYP",70670
"NDUFA8",70517
"VDAC2",70468
"GAP43",70441
"PRKAR1B",70414
"GNG3",70384
"CRYM",70274
"OXR1",70227
"CELF4",70117
"MT-ND6",69800
"DKK3",69545
"CSRP1",69454
"CNP",68979
"PPFIA2",68565
"PLD3",68519
"FAM3C",68282
"GFAP",68080
"FAM213A",67789
"RPS19",67388
"MGLL",67370
"NME1",67219
"FUS",66715
"MT-ATP8",66537
"APOD",66353
"ALDOA",65874
"ADCY1",65659
"NAP1L2",65445
"UBE2QL1",65323
"THRA",64635
"DIRAS1",64205
"KLC1",64185
"SLC39A10",64169
"PCDH9",64133
"PHACTR1",63897
"INF2",63489
"ACTR2",63386
"MARCKSL1",63249
"ATP1A3",63161
"CNIH2",62679
"HLA-A",62504
"LMO4",62086
"BIN1",62022
"YJEFN3",62013
"ROGDI",61830
"DPP6",61764
"ATP13A2",61163
"VSTM2L",61044
"CYP46A1",60788
"ATP6V1C1",60158
"LRP1",59976
"VSNL1",59511
"PLCB1",59268
"SYT5",59001
"COX7A1",58627
"SIRT2",58095
"ARNT2",57899
"LZTS3",57897
"GRIN2A",57606
"C11orf87",57280
"SNX10",57187
"DCTN3",57002
"SCG2",56877
"MYL6",56572
"KIF3A",56405
"HPCAL1",56389
"PLEKHB1",56309
"ZBTB18",56264
"QKI",55552
"PIK3R1",55506
"TRIM37",55439
"LAMP1",54787
"SERPINE2",54733
"DAZAP2",54714
"PDP1",54595
"NREP",54199
"SHISA4",54168
"CADM3",53869
"S100A13",53298
"TMEM258",53161
"CD74",52910
"ATCAY",52512
"PRDX6",52395
"MRPL33",52013
"RAPGEF5",51806
"MAP2",51671
"PTPRA",51640
"GUCY1B1",51089
"JPH3",51087
